university name,YEAR_entry,yearSurvey ,City-ORIGIN,gEnder,Program level,FiEld,livingArrangement,part-time_job,ScholarShip,AGE ,gpa,SleepHours,Study hour(s),screenTime,exercise_hours,stressLevel
,2021.0,2021.0,Stuttgart,Female,BSc,SocialSci,Dorm,No,Yes,18.7,2.26,7.3,"""2.9""",8.2,2.7,High
Technical University of Munich,2020.0,2022.0,Berlin,Male,BSc,Health,Alone,No,Yes,22.1,2.42,4.2,"""5.6""",5.1,0.8,High
Technical University of Munich,2021.0,2022.0,Frankfurt,Male,BSc,SocialSci  ,Alone,Yes,No,24.7,3.21,8.2,"""1.8""",4.3,2.8,Moderate
Technical University of Munich,2019.0,2020.0,Frankfurt,Male,BSc,STEM,Alone,No,No,22.7,2.89,7.2,"""3.7""",4.9,2.3,Moderate
Technical University of Munich,2022.0,2022.0,Hamburg,Female,MSc,Business,Shared Apartment,No,No,22.5,3.06,7.6,"""5.1""",3.6,0.8,Moderate
Technical University of Munich,2021.0,2021.0,berlin,Female,MSc,Business,Family Home,No,Yes,23.6,3.1,7.4,"""4.6""",2.8,3.8,Moderate
Technical University of Munich,2022.0,2022.0,Hamburg,Female,BSc,STEM,,No,Yes,18.3,3.25,6.4,"""5.0""",6.0,2.2,Moderate
Technical University of Munich,2020.0,2020.0,Munich,Male,BSc,Business,Dorm,Yes,Yes,20.1,2.7,6.6,"""2.8""",9.3,2.6,High
Technical University of Munich,2022.0,2022.0,Berlin,Female,MSc,STEM,Dorm,,No,22.1,3.12,6.7,"""6.9""",2.8,2.0,High
Technical University of Munich,2022.0,2022.0,Hannover,Female,BSc,STEM,ALONE,No,Yes,19.5,2.92,6.9,"""3.8""",3.6,4.0,Moderate
Technical University of Munich,2022.0,2022.0,Cologne,,MSc,Business,Dorm,Yes,No,24.8,2.48,5.1,"""3.9""",6.6,2.6,High
Technical University of Munich,2020.0,2022.0,Dresden,FEMALE,BSc,STEM,Shared Apartment,Yes,Yes,20.6,2.65,6.9,"""5.5""",5.1,0.7,High
Technical University of Munich,2021.0,2022.0,Nuremberg,Female,BSc,Business,Shared Apartment,no,No,21.7,3.37,,"""1.6""",6.5,3.2,Moderate
Technical University of Munich,2019.0,2020.0,Berlin,Female,BSc,STEM,Shared Apartment,No,No,18.6,2.54,5.0,"""3.3""",5.7,3.3,High
Technical University of Munich,2020.0,2021.0,Düsseldorf,Male,BSc,SocialSci,Dorm,NO,No,19.6,3.46,7.3,"""3.5""",5.2,3.6,Moderate
Technical University of Munich,2021.0,2022.0,Bremen,Male,MSc, STEM,Shared Apartment,Yes,Yes,27.0,3.16,7.6,"""3.2""",4.8,3.8,Low
Technical University of Munich,2022.0,2022.0,Düsseldorf,Female,BSc,Humanities,Dorm,NO,No,20.4,3.31,7.0,"""5.9""",1.6,1.8,High
Technical University of Munich,2022.0,2022.0,Cologne,Male,PhD,STEM,Family Home,No,No,24.4,3.39,7.1,"""4.3""",3.1,4.0,Low
Technical University of Munich,2020.0,2022.0,Cologne,Male,,Business,Dorm,Yes,No,21.2,2.56,5.6,"""2.7""",6.9,0.0,High
Technical University of Munich,2020.0,2021.0,,Female,MSc,STEM,Shared Apartment,Yes,No,23.4,2.31,6.3,"""2.3""",7.8,1.9,High
Technical University of Munich,2021.0,2021.0,Frankfurt,Female,PhD#,STEM,Family Home,Yes,Yes,33.2,2.51,5.3,"""4.6""",7.8,1.9,High
Technical University of Munich,2020.0,2021.0, Nuremberg,Female,BSc,Business,Dorm,Yes,No,21.8,2.58,7.0,"""3.6""",6.8,4.5,High
Technical University of Munich,2019.0,2021.0,Nuremberg,Female,BSc,Humanities,Dorm,No,No,20.6,3.03,6.0,"""2.9""",2.5,2.5,Moderate
Technical University of Munich,2021.0,,Berlin,Male,MSc,,Family Home,Yes,Yes,22.4,2.63,6.8,"""6.5""",3.9,3.3,High
Technical  University  of  Munich  ,2020.0,2020.0,Leipzig,Non-binary,BSc,STEM,Dorm,No,No,24.0,2.32,5.2,"""5.4""",8.2,0.0,High
Technical University of Munich,2021.0,2021.0,Munich,Female,PhD,STEM,Dorm,No,No,25.3,2.69,6.3,"""6.0""",8.7,2.2,High
Technical University of Munich,2021.0,2022.0,Hannover,Male,BSc,SocialSci ,Shared Apartment,Yes,No,22.0,2.72,7.4,"""2.3""",,0.7,High
Technical University of Munich,2022.0,2022.0,Berlin,Female,BSc,Business,Alone,No,No,21.2,2.98,6.5,"""4.2""",4.7,6.6,  Low
Technical University of Munich ,2022.0,2022.0,Hannover,Male,BSc#,STEM,Shared Apartment,No,No,21.9,3.08,8.4,"""0.5""",3.1,1.6,Low
Technical University of Munich,2020.0,2022.0,Dresden,Mal3,MSc,SocialSci,Shared Apartment,No,No,20.1,2.79,4.5,"""5.7""",5.1,2.8,High
,2022.0,2022.0,Berlin,F3mal3,PhD, Business,Alone,No,No,28.1,3.24,6.3,"""5.6""",5.1,2.8,High
Technical University of Munich,2022.0,2022.0,Berlin,Female,BSc,SocialSci, Shared Apartment,No,Yes,19.8,2.66,6.8,"""5.2""",7.7,0.2,High
Technical  University  0f  Munich,2020.0,2021.0,Dresden,Male,MSc,STEM,shared apartment,No,yes,20.3,3.23,6.2,"""8.2""",6.3,1.9,High
Technical University of Munich,2020.0,2021.0,Berlin,Non-binary,PhD,Business,Shared Apartment,Yes,Yes,31.3,3.02,8.2,"""3.8""",5.9,,Moderate
Technical University of Munich,2021.0,2022.0,Frankfurt,Female,BSc,STEM,Dorm,Yes,No,21.1,2.64,8.4,"""4.2""",5.5,2.3,Moderate
Technical University of Munich,2019.0,2019.0,Hannover,Female,BSc,SocialSci,Dorm,No,No,18.5,2.46,6.9,"""3.2""",6.0,0.0,High
Technical University of Munich,2020.0,2020.0,Stuttgart,Female,MSc,STEM,Shared Apartment,No,Yes,29.2,2.77,6.1,"""5.4""",6.9,1.8,High
Technical University of Munich,2019.0,2021.0,Cologne,Male,MSc,SocialSci,Dorm,Yes,Yes,22.1,3.01,,"""2.7""",4.9,3.8,Moderate
Technical University of Munich,2022.0,2022.0,Cologne,Male,BSc,Humanities,Shared Apartment,No,No,21.5,3.46,6.9,"""2.6""",3.5,3.6,Moderate
Technical  University  of  Munich  ,2021.0,2022.0,Berlin,Male,MSc,SocialSci,Dorm,,No,22.3,2.55,6.3,"""4.1""",7.6,4.7,High
Technical University of Munich,2022.0,2022.0,Nuremberg,Male,BSc,STEM,Shared Apartment#,No,No,21.7,3.02,7.3,"""2.8""",2.6,1.1,Moderate
Technical University of Munich,2022.0,2022.0,Munich,MALE,MSc,STEM,Dorm,No,N0,28.4,2.79,6.0,"""2.1""",8.0,4.8,Moderate
Technical University of Munich,2021.0,2022.0,Hamburg,Male,MSc,Business,SharedApartment,No,No,23.4,3.16,7.7,"""3.3""",2.1,2.6,Moderate
Technical University of Munich,2021.0,2022.0,Munich,Female,MSc,Business,Shared Apartment,Yes,No,23.8,2.93,7.6,"""6.6""",4.3,4.6,High
Technical University of Munich,2019.0,2019.0,,Male,BSc,Health,Shared Apartment,Yes,Yes,,2.88,8.2,"""2.5""",6.8,2.1,Moderate
,2019.0,2022.0,Berlin,Female,BSc,STEM,Dorm,No,No,20.9,2.78,6.0,"""4.3""",5.4,0.0,High
Technical University of Munich,2021.0,2021.0,Bremen,Female,BSc,Humanities,Dorm,Yes,No,19.2,3.07,7.1,"""4.4""",4.0,3.6, Moderate
Technical University of Munich,2021.0,2021.0,Leipzig,Male,Bsc,STEM,Family Home,No,No#,23.1,2.91,6.6,"""5.3""",6.3,2.2,High
Technical University of Munich,2021.0,2022.0,Dresden,Male,MSc,STEM,Dorm,No,Yes,24.3,3.16,6.8,"""2.6""",5.5,2.2,Moderate
Technical University of Munich,2022.0,2022.0,Nuremberg,Male,,STEM,Family Home,Yes,Yes,20.5,2.49,6.9,"""4.3""",4.6,0.0,High
Technical University of Munich,2021.0,2022.0,Bremen,Female,BSc,SocialSci,Dorm,No,No,21.9,2.67,6.2,"""5.5""",4.4,5.4,Moderate
TECHNICAL UNIVERSITY OF MUNICH,2021.0,2022.0,Hannover,Male,BSc,STEM,Dorm,Yes,No,19.0,3.01,7.1,"""4.2""",5.3,1.4,High
Technical University of Munich,2021.0,2021.0,Berlin,Female,BSc,STEM,Shared Apartment,No,No,18.5,2.82,7.3,"""2.0""",5.0,5.2,Moderate#
Technical University of Munich,,2022.0,Dresden,Female,BSc,SocialSci,Shared Apartment,No,yes,21.5,2.86,6.8,"""1.7""",9.1,2.0,Moderate
Technical University of Munich,2019.0,2020.0,Stuttgart,Female,Msc,Business,Dorm,No,No,21.3,2.37,5.8,"""3.7""",5.7,1.3,High
Technical University of Munich,2021.0,2022.0,Stuttgart,Male,MSc,STEM,Alone,No,Yes,27.2,2.82,7.1,"""4.8""",4.5,4.7,Moderate
Technical University of Munich,2020.0,2022.0,Bremen,Female,BSc,STEM,Dorm,Yes,No,22.3,2.44,7.4,"""3.2""",4.5,2.1,High
Technical University of Munich,2021.0,2022.0,Nuremberg,Male,MSc,Business,shared apartment,Yes,No,23.3,2.5,6.5,"""4.1""",8.0,2.0,High
Technical University of Munich,2022.0,2022.0,Leipzig,Female,MSc,STEM,Shared Apartment,No,No,23.5,2.75,6.1,"""4.1""",2.6,0.6,High
Technical University of Munich,2020.0,2020.0,Frankfurt,Female,BSc,STEM,Shared Apartment#,No,No,19.7,2.68,7.0,"""6.2""",6.5,2.0,High
Technical University of Munich,2019.0,2020.0,Frankfurt,Male,MSc#,SocialSci,Family Home,Yes,No,24.9,3.21,7.8,"""3.1""",5.2,3.0,MODERATE
Technical University of Munich,2020.0,2021.0,Cologne,Female,BSc,STEM,Dorm,Yes,No,24.0,2.44,5.6,"""2.7""",3.8,0.1,High
Technical University of Munich,2020.0,2022.0,Cologne,Male,BSc ,Business,Alone,No,Yes,22.4,3.49,8.1,"""5.2""",3.8,1.7,Moderate
Technical University of Munich,2021.0,2022.0,Cologne,Male,,STEM,Shared Apartment,No,No,20.0,2.62,6.5,"""6.0""",5.7,2.0,HIGH
Technical University of Munich,2021.0,2021.0,Berlin,Female,BSc,STEM,Alone,No,Yes,21.8,2.36,6.3,"""4.5""",4.4,2.7,High
Technical University of Munich,2022.0,2022.0,Berlin,,MSc,STEM,Family Home,No,No,22.6,3.34,7.5,"""5.2""",5.3,5.3,LOW
Technical University of Munich,2021.0,2022.0,Dresden,Male,PhD,STEM,Alone,No,No,23.8,3.08,8.1,"""4.3""",7.9,2.1,Moderate
Technical University of Munich,2021.0,2022.0,Cologne,Male,MSc,STEM,Shared Apartment,No,Yes,23.5,2.93,7.9,"""3.7""",5.5,1.6,M0derate
Technical University of Munich,2022.0,2022.0,HANNOVER,Male,BSC,STEM,Shared Apartment,No,Yes,21.6,3.66,7.6,"""3.0""",2.9,7.1,Low
Technical University of Munich,2020.0,2021.0,Stuttgart,Male,BSc,Health,Shared Apartment,No,No,20.6,2.47,5.4,"""3.6""",4.5,2.0,High
Technical University of Munich,2019.0,2020.0,Berlin,Male,PhD,Humanities,Shared Apartment,No,Yes,32.3,2.7,4.0,"""6.5""",5.4,2.4,High
Technical University of Munich,2019.0,2022.0,Berlin,Female,BSc,STEM  ,Shared Apartment,Yes,No,20.9,3.38,7.8,"""3.6""",4.6,1.5,Moderate
Technical University of Munich,2022.0,2022.0,Hamburg,Male,BSc#,Business,Family Home,No,No,20.5,3.28,7.9,"""2.9""",5.1,2.5,Low
Technical University of Munich,2021.0,2022.0,Nuremberg,Male,BSc,Business,Dorm,No,No,20.3,2.74,5.8,"""3.8""",5.9,2.9,High
Technical University of Munich,2020.0,2020.0,Hamburg,Male,BSc,Humanities,,No,No,20.0,2.87,6.6,"""2.4""",8.4,4.4,Moderate
Technical University of Munich,2021.0,2022.0,Frankfurt,Male,BSc,STEM,Dorm,No,No,21.2,3.25,6.9,"""2.8""",5.4,3.4,Moderate
Technical University of Munich,2020.0,2021.0,Hannover,Female,BSc,STEM,Alone,Yes,No,21.5,2.95,6.4,"""2.1""",4.0,3.7,Moderate
 Technical University of Munich,2021.0,2022.0,Nuremberg,Male,BSC,STEM,Dorm,No,Yes,21.2,3.61,7.8,"""4.0""",7.2,4.5,Moderate
Technical University of Munich,2021.0,2022.0,Hamburg,Non-binary,BSc,STEM,Dorm,No,Yes,18.7,2.83,6.9,"""3.5""",7.4,3.1,High
Technical University of Munich,2020.0,2022.0,Berlin,Female,BSc,STEM,Family Home,YES,Yes,19.0,2.78,7.0,"""3.5""",5.3,2.9,Moderate
Technical University of Munich,2020.0,2020.0,Berlin,Female,BSc,Humanities,Family Home,Yes,Yes,21.5,3.36,9.5,"""3.6""",5.2,4.1,Low
Technical University of Munich,2021.0,2021.0,Berlin,Male,BSc,Health,Family Home,Yes,No,23.4,2.42,4.6,"""3.4""",6.6,0.5,High
Technical University of Munich,2020.0,2020.0,Hamburg,Female,MSc,STEM,Alone,No,No,24.3,2.66,7.3,"""4.5""",5.5,6.6,Moderate
Technical University of Munich,2019.0,2021.0,Stuttgart,Male,BSc,Business,Dorm,No,No,20.1,2.88,6.6,"""1.5""",2.8,2.0,Moderate
Technical University of Munich,2019.0,2020.0,Hannover,Female,MSc,STEM,Family Home,Yes,No ,23.9,2.52,6.8,"""3.7""",6.5,1.7,High
Technical University of Munich,2022.0,2022.0,Frankfurt,Female,MSc,Business,Shared Apartment,No,No,24.0,2.75,6.7,"""6.0""",6.6,0.8,High
Technical University of Munich,2022.0,2022.0,Düsseldorf,Male,BSc,Business,Shared Apartment,Yes,No,23.2,3.08,7.3,"""4.0""",7.5,0.2,High
Technical University of Munich,2021.0,2021.0,Hamburg,Male,MSC,STEM,Shared Apartment,Yes,No,31.5,2.91,7.1,"""2.8""",4.7,3.7,Mod3rat3
Technical University of Munich,2020.0,2022.0,Dresden,Male,MSc,Humanities,Dorm,No,No,27.1,2.65,6.1,"""6.2""",5.8,6.4,moderate
Technical University of Munich,2022.0,2022.0,Stuttgart,Male,BSc,Health,Shared Apartment,No,No,20.5,2.25,5.6,"""6.3""",5.6,1.8,High
Technical University of Munich,2022.0,2022.0,Bremen,Male,BSc,SocialSci,Family Home,N0,No,19.9,3.15,6.4,"""3.9""",5.0,3.5,Moderate
Technical University of Munich,2022.0,2022.0,Hannover,Male,BSc,SocialSci,Dorm,No,No,23.2,3.18,7.2,"""4.4""",5.6,3.2,Moderate
Technical University of Munich,2021.0,2021.0,Munich,Male,PhD,Business,Alone,Yes,Yes,31.5,3.4,6.8,"""5.6""",5.9,3.6,Moderate
Technical University of Munich,2020.0,2021.0,Berlin,Mal3,MSc,STEM,Shared Apartment,Yes,No,21.6,3.18,7.5,"""4.0""",6.2,5.6,Moderate
Technical University 0f Munich,2019.0,2020.0,Hamburg,Male,PhD,STEM,Dorm,No,Yes,28.9,2.88,6.0,"""7.3""",7.3,5.2,High
Technical University of Munich,2022.0,2022.0,Cologne,Female,MSc,Business,Shared Apartment,Yes,Yes,26.2,2.82,6.8,"""4.7""",7.2,1.7,High
Technical University of Munich,2021.0,2021.0,hannover,Female,BSc,STEM,Dorm,No,No,21.1,3.11,7.8,"""4.9""",4.9,3.6,High
Technical University of Munich,2020.0,2020.0,Cologne,Male,MSc,Humanities,dorm,Yes,No,22.8,2.83,8.1,"""3.3""",5.8,3.2,Moderate
Technical University of Munich,2020.0,2022.0,Dresden,Male, BSc,Business,Shared Apartment,No,No,18.0,3.36,8.5,"""3.1""",4.5,2.7,Moderate
Technical University 0f Munich,2021.0,2021.0,Stuttgart,  Male,MSc,  STEM,Dorm,Yes,No,24.5,2.54,6.6,"""5.7""",5.2,0.4,High
Technical University of Munich,2020.0,,Hamburg ,Female,BSc,STEM,D0rm,Yes,No,20.7,2.54,7.7,"""4.3""",3.5,0.9,Moderate
Technical University of Munich,2022.0,2022.0,Munich,Male,BSc,Health,Family Home,No,Yes,21.0,3.3,7.0,"""5.6""",4.9,4.7,Moderate
Technical University of Munich,2022.0,2022.0,Düsseldorf,Female,MSc,STEM,Dorm,N0,Yes,29.6,3.18,6.1,"""4.4""",6.2,4.8,Moderate
Technical University of Munich,2022.0,2022.0,Düsseldorf,Male,MSc,STEM,Family Home,Yes,No,21.0,2.86,7.8,"""5.0""",4.7,2.0,Moderate
Technical University of Munich,2021.0,2022.0,Cologne,Male,BSc,STEM,family  home,No,No,23.2,3.55,8.3,"""1.4""",4.9,3.3,Low
Technical University of Munich,2021.0,2021.0,Hamburg,Male,BSc,SocialSci,Dorm,Yes,No,18.7,2.5,7.0,"""0.9""",6.8,4.1,Moderate
Technical University of Munich,2021.0,2022.0,Leipzig,Male,BSc,,Shared Apartment, Yes,Yes,20.2,2.43,5.9,"""1.6""",7.5,0.0,Moderate
Technical University of Munich,2021.0,2022.0,Hamburg,Female,PhD,STEM,Dorm,Yes,No,31.7,2.76,7.4,"""5.8""",4.7,1.5,High
Technical University of Munich,2019.0,2021.0,Hannover,Female,BSc,Health,Shared Apartment,No,No,,2.98,6.5,"""5.4""",4.0,5.9,Moderate
Technical University of Munich,2021.0,2021.0,Hamburg,Male,BSc,STEM,Dorm,No,Yes,21.6,2.97,8.0,"""5.1""",6.0,3.3,Moderate
Technical University of Munich,2019.0,2019.0,Berlin,Male,BSc,SocialSci,Alone,Yes,No,25.8,2.73,7.4,"""2.0""",8.1,0.2,High
Technical University of Munich,2021.0,2022.0,Frankfurt,Male,BSc,,Dorm,No,No,21.9,2.9,6.7,"""2.1""",3.5,3.0,Low
Technical University of Munich,2020.0,2020.0,Frankfurt,Female,BSc,Business,Shared Apartment,No,No,22.8,2.73,5.0,"""5.4""",6.9,4.3,High
Technical University of Munich,2019.0,2022.0,Frankfurt,Female,BSC,SocialSci,Dorm,No,No,20.2,2.6,5.5,"""5.7""",7.3,0.0,High
Technical University of Munich,2019.0,2019.0,Cologne,Female,MSc,Business,Dorm,Yes,No,24.0,3.01,7.1,"""3.8""",1.6,2.5,Moderate
Technical University of Munich,2021.0,2021.0,Nuremberg,Female,MSc,STEM,Shared Apartment,No,No,22.3,2.55,6.0,"""3.9""",6.6,2.1,High
Technical University of Munich,2020.0,2022.0,Frankfurt,Female,PhD,Humanities,Shared Apartment,N0,No,19.3,2.63,7.1,"""5.4""",6.2,0.1,High
Technical University of Munich,2022.0,2022.0,Frankfurt,Male,BSc,Health,Alone,No,Yes,21.5,2.85,6.3,"""5.1""",4.7,2.7,Moderate
Technical University of Munich,2021.0,2022.0,Cologne,Male,BSc,Business,Dorm,Yes,No,21.5,3.28,8.2,"""4.5""",4.4,2.0,Moderate
Technical University of Munich,2020.0,2022.0,Berlin,Female,MSc,SocialSci,Dorm,No,Yes,21.4,3.29,5.7,"""5.2""",4.5,2.8,High
Technical University of Munich,2021.0,2022.0,Stuttgart,Female,MSc,Humanities,Shared Apartment,Yes,No,25.6,3.1,5.9,"""3.9""",4.7,,Moderate
Technical University of Munich,2019.0,2019.0,Hamburg,Female,BSc,STEM,Shared Apartment,Yes,Yes,20.5,3.12,8.8,"""2.3""",4.7,0.5,Moderate
Technical University of Munich,2022.0,2022.0,Düsseldorf,Male, MSc,Humanities,Alone,Yes,No,27.5,2.76,8.0,"""1.2""",4.3,0.0,  Moderate
Technical University of Munich,2021.0,2022.0,Berlin,Female,MSc,STEM#,Alone,Yes,Yes,24.8,2.7,6.7,"""5.2""",4.5,0.9,High
Technical University of Munich,2022.0,2022.0,Nuremberg,Male,MSc,SocialSci,Alone,No,No,24.3,3.18,6.3,"""4.7""",7.0,4.0,Moderate
Technical University of Munich,2019.0,2021.0,Frankfurt,Male,MSc,STEM,Dorm,Yes,No,22.1,2.55,7.1,"""1.7""",4.2,2.6,Low
Technical University 0f Munich,2021.0,2021.0,Bremen,Female,BSc,STEM,Shared Apartment,No,No,19.6,2.68,6.4,"""5.2""",3.1,2.6,High
Technical University of Munich#,2021.0,2021.0,Frankfurt,Male,BSc,Business,Family Home,Yes,N0,21.6,2.44,5.2,"""1.8""",7.5,0.6,High
Technical University of Munich,2022.0,2022.0,Berlin,Male,,Business,Dorm,No,Yes,20.5,2.27,4.7,"""6.2""",5.1,2.2,High
Technical University of Munich,2021.0,2022.0,Dresden,Female,BSc,Humanities,Shared Apartment,Yes,Yes,23.6,3.18,6.4,"""0.9""",4.6,3.3,Low
Technical University of Munich,2021.0,2021.0,Düsseldorf,Female,MSc,Health,Dorm,Yes,Yes,20.7,3.05,7.4,"""6.5""",5.9,3.0,High
Technical University of Munich,2020.0,2022.0,Dresden,male,BSc,STEM,Dorm,No,No,21.1,2.53,7.8,"""4.2""",5.7,2.0,High
technical university of munich,2020.0,2020.0,Cologne,Male,BSc,STEM,Alone,Yes,Yes,21.9,2.55,6.1,"""5.9""",5.0,0.0,High
Technical University of Munich,2021.0,2021.0,Düsseldorf,Male,MSc,STEM,Dorm,No,Yes,25.2,2.52,6.0,"""2.2""",6.9,1.7,High
Technical University of Munich,2021.0,2021.0,Bremen,Male,MSc,Business,Alone,No,No,24.4,3.01,7.1,"""3.3""",4.3,1.8,Moderate
Technical  University  of  Munich#,2019.0,2020.0,DÜSSELDORF,Female,MSc,Business,Dorm,No,No,26.7,2.84,6.3,"""4.7""",5.6,1.3,High
Technical University of Munich,2022.0,2022.0,Munich,Male,BSc,Humanities,Dorm,No,No,19.9,3.3,7.9,"""1.9""",1.9,2.1,Low
Technical University of Munich,2022.0,2022.0,Düsseldorf,Male,MSc,SocialSci, Dorm,No,No,25.7,2.59,5.0,"""5.1""",7.3,4.1,High
Technical University of Munich,2019.0,2021.0,Düsseldorf,Female,BSc,STEM,Dorm,Yes,No,22.8,3.07,9.0,"""4.6""",5.8,2.1,Moderate
T3chnical Univ3rsity of Munich,2021.0,2022.0,Nuremberg,Male,BSc,Business,Shared Apartment,No,Yes,19.7,2.96,7.3,"""6.6""",6.3,4.3,Moderate
Technical University of Munich,2019.0,2022.0,Cologne,Male,BSc,SocialSci,Dorm,No,No,21.8,2.91,6.0,"""4.7""",6.2,0.4,Moderate
Technical University of Munich,2021.0,2022.0,Cologne,Male,MSc,Business,Shared Apartment,Yes,No,24.3,2.4,5.5,"""5.5""",6.1,1.6,High
Technical University of Munich,2020.0,2020.0,Dresden,Female,MSc,stem,Alone,Yes,No,23.0,2.89,7.2,"""4.0""",5.8,,High#
Technical University of Munich,2021.0,2022.0,Frankfurt,Female,BSc,STEM,Shared Apartment,No,Yes,21.7,2.99,6.6,"""4.2""",5.8,2.0,High
Technical University of Munich,2022.0,2022.0,Leipzig,Male,BSc,STEM,Dorm,Yes,Yes,18.3,2.95,6.7,"""4.7""",3.9,0.5,High
Technical University of Munich,2022.0,2022.0,Frankfurt,Male,MSc,STEM,SharedApartment,No,Yes,24.1,3.66,7.6,"""5.7""",3.3,4.8,Moderate
Technical University of Munich,2019.0,2021.0,Hamburg,Male,MSc,socialsci,Family Home,No,No,23.5,2.88,6.8,"""4.9""",5.4,3.6,Moderate
Technical University of Munich,2022.0,2022.0,Leipzig,Male,BSc,STEM,Shared Apartment,No,No,20.8,3.0,8.0,"""5.3""",4.1,4.3,Moderate
Technical University of Munich,2020.0,2021.0,Berlin,Female,PhD,Business,Dorm,Yes,No,28.9,2.48,6.7,"""5.7""",8.4,1.5,High
Technical University of Munich,2019.0,2021.0,Hamburg,Female,MSc,Business,SharedApartment,No,No,22.6,2.23,6.6,"""4.2""",6.5,1.1,High
Techn1cal Un1vers1ty of Mun1ch,2021.0,2022.0,Düsseldorf,Female,PhD,Human1t1es,Shared Apartment,No,No,28.6,2.75,8.0,"""3.4""",4.1,1.0,Moderate
Technical University of Munich,2020.0,2022.0,Leipzig,Female,PhD,STEM,Dorm,yes,Yes,33.4,3.08,7.2,"""5.2""",5.0,2.6,Moderate
Technical University of Munich,2022.0,2022.0,Bremen,Female,MSc,STEM,Dorm,No,,26.0,2.66,5.6,"""3.7""",5.6,5.7,Moderate
Technical University of Munich,2022.0,2022.0,Munich,Male,msc,STEM,Alone,No,  No,24.8,2.42,5.9,"""5.9""",5.0,3.3,High
Technical University of Munich,2020.0,2021.0,Berlin,Female,BSc,Business,Dorm,Yes,Yes,21.7,2.79,6.7,"""0.7""",6.5,1.6,Moderate
Technical University of Munich,2022.0,2022.0,Nuremberg,Female,BSc,STEM,Dorm,Yes,No,17.0,2.58,5.8,"""3.1""",5.5,1.9,Moderate
Technical University of Munich,2020.0,2021.0,Berlin,Male,BSc,SocialSci,Dorm,No,No,24.4,3.07,6.4,"""2.4""",3.9,2.7,Moderate
Technical University of Munich,2021.0,2022.0,Hamburg,Female,MSc,STEM,Shared Apartment,No,No,19.1,3.17,7.8,"""8.1""",1.8,5.9,Moderate
Technical University of Munich,2020.0,2020.0,Munich,Female,BSc,STEM,Shared Apartment,Yes,No,22.1,2.61,7.4,"""1.8""",5.3,4.1,Moderate
Technical University of Munich,2022.0,2022.0,Frankfurt,Male,Msc,STEM,Dorm,No,No,20.3,2.6,4.5,"""7.2""",6.3,3.2,High
Technical University of Munich,2020.0,2020.0,,Female,BSc,SocialSci,Shared Apartment,No,No,17.5,2.84,6.4,"""4.5""",5.3,2.9,High
Technical University of Munich#,2019.0,2021.0,Leipzig,Male,BSc,Humanities,Shared Apartment,No,No,22.0,2.15,5.2,"""5.4""",7.9,3.2,High
Technical University of Munich,2021.0,2021.0,Leipzig,Male#,BSc,SocialSci,Dorm,No,N0,19.8,2.96,6.8,"""4.4""",6.0,3.6,High
